Order,Scenario,P,MILP_Cost,MILP_Slots,MILP_Time,SSM_Cost,SSM_Slots,SSM_Time,SA_Cost,SA_Slots,SA_Time,GRASP_Cost,GRASP_Slots,GRASP_Time,GA_Cost,GA_Slots,GA_Time
O2,2,3,1492.0,8.0,347.970488268,1492.0,8.0,248.88343624799998,1513,9,2.351701851,1502,9,1.06147378,1492,8,2.360673133
O2,2,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1500,8,3.143346271
