instance,beta,BKS,SA_avg_RPD,SA_std_RPD,SA_n,GRASP_avg_RPD,GRASP_std_RPD,GRASP_n,GA_avg_RPD,GA_std_RPD,GA_n,SSM_SA_RPD,MILP_RPD
H_O1_#1_2p,3,215.0,0.13619426956186562,0.301191797678079,181,4.1828165374677,3.3092730410977427,144,0.013953488372093023,0.07974260837105361,100,0.0,0.0
H_O1_#1_3p,3,146.0,0.32165291758117004,0.9345165711442075,181,13.04699391171994,9.677696263681554,144,0.0,0.0,100,0.0,0.0
H_O1_#1_4p,3,119.0,0.027856446445981706,0.2642653765996179,181,13.497899159663866,10.362846862349176,144,0.025210084033613446,0.25210084033613445,100,0.0,0.0
H_O1_#1_5p,3,104.0,2.8846153846153846,0.0,181,11.972489316239315,13.107634619041477,144,2.8846153846153846,0.0,100,,0.0
H_O2_#1_2p,3,2188.0,0.5542537396345714,0.491491347055533,181,4.10318911232988,4.410409113331364,144,0.0,0.0,100,0.0,0.0
H_O2_#1_3p,3,1479.0,0.2637290389579341,0.6851663406654346,181,11.487209826459319,10.431513380100808,144,0.0,0.0,100,0.2704530087897228,0.0
H_O2_#1_4p,3,1264.0,0.0,0.0,181,2.968420358649789,6.602474218959212,144,0.0,0.0,100,0.0,0.0
H_O2_#1_5p,3,1264.0,0.0,0.0,181,0.6620297116736991,3.10144910108047,144,0.0,0.0,100,,0.0
H_O3_#1_2p,3,643.0,0.2070749164396862,0.2964683483733438,181,5.298513910489027,3.9755306396846715,144,0.07931570762052878,0.17613926970542934,100,0.46656298600311047,0.0
H_O3_#1_3p,3,443.0,0.5100831847149645,0.6955127202722003,181,10.33044895911713,5.803193780738337,144,0.06772009029345373,0.26939419478097293,100,1.3544018058690745,0.0
H_O3_#1_4p,3,341.0,0.9445731598645518,1.1638531111928274,181,13.182225480612578,6.689433538307951,144,0.6304985337243402,0.14662756598240473,100,3.225806451612903,0.0
H_O3_#1_5p,3,308.0,1.0027265552127431,0.16158852284250863,181,11.958874458874458,6.904507333698757,144,0.9740259740259741,1.1158161231197418e-16,100,,0.0
H_O1_#2_2p,3,213.0,1.3021035976448008,0.5507547948893796,181,6.142410015649452,3.0092364475035622,144,1.0985915492957747,0.5305728743857829,100,0.0,0.0
H_O1_#2_3p,3,146.0,0.9800953606296828,1.5870345184059633,181,14.445395738203956,7.320202464473052,144,0.30821917808219174,0.7374046875670617,100,0.0,0.0
H_O1_#2_4p,3,118.0,1.273527483846802,1.314771657882405,181,19.462099811676083,10.17562001464769,144,0.5847457627118644,0.8826373811406418,100,3.389830508474576,0.0
H_O1_#2_5p,3,104.0,2.9164895877603056,0.3023805751476398,181,17.427884615384617,11.406518223543404,144,2.8846153846153846,0.0,100,,0.0
H_O2_#2_2p,3,2183.0,0.1695674511481235,0.13699605021629296,181,3.603921718328498,3.5568004573519434,144,0.060925332111772784,0.08904885211069374,100,0.0,0.0
H_O2_#2_3p,3,1467.0,0.4929818813152712,0.28715631203336683,181,10.723888510187079,8.759383174327022,144,0.4117246080436265,0.23109624421887973,100,0.0681663258350375,0.0
H_O2_#2_4p,3,1120.0,1.0995461720599842,0.7839607089874567,181,15.31187996031746,10.184813251955692,144,1.0696428571428571,0.7528141562050525,100,7.857142857142857,0.0
H_O2_#2_5p,3,991.0,0.3077420541782116,0.05948567319151136,181,11.346563516089248,10.777552010570396,144,0.30272452068617556,0.0860547795582686,100,,0.0
H_O3_#2_2p,3,643.0,0.26120653360026813,0.26872459053961995,181,4.709910143424918,2.8967527471482653,144,0.1866251944012442,0.22971973433156967,100,0.0,0.0
H_O3_#2_3p,3,435.0,1.7590652187718296,0.8410065235059144,181,11.061621966794382,5.53259234921948,144,1.2919540229885058,0.5122493470883275,100,0.6896551724137931,0.0
H_O3_#2_4p,3,332.0,1.993609798309259,1.6102953099868051,181,16.31107764390897,6.977426719829695,144,1.8012048192771084,1.0573459707119344,100,0.0,0.0
H_O3_#2_5p,3,280.0,3.98973954222573,3.755163735757971,181,20.8531746031746,7.8380604611303335,144,1.7642857142857142,1.6416018794369773,100,5.714285714285714,0.0
H_O1_#3_2p,3,213.0,1.9505615645993826,0.6818462117937555,181,6.9379238393322895,2.822610651945534,144,1.5492957746478873,0.302130610066799,100,0.0,0.0
H_O1_#3_3p,3,146.0,2.849466434572012,1.9049591246512827,181,15.558409436834093,6.512790000882478,144,1.9315068493150682,1.2056712679322061,100,0.0,0.0
H_O1_#3_4p,3,114.0,5.844722302995057,1.940033678400459,181,23.464912280701753,10.361185861238344,144,5.228070175438596,1.5163728440753024,100,4.385964912280701,0.0
H_O1_#3_5p,3,104.0,4.079898002549936,1.4884083040212963,181,19.69818376068376,10.836278184233437,144,4.153846153846153,1.4390989949130544,100,0.0,0.0
H_O2_#3_2p,3,2183.0,0.21917225775264917,0.12122664669574254,181,3.3828319845269,3.2264432685535382,144,0.14383875400824553,0.06313261641718325,100,0.0,0.0
H_O2_#3_3p,3,1464.0,0.8381638136642212,0.28663824435997587,181,10.66949377656345,8.8092129890861,144,0.6728142076502732,0.20488928244892726,100,0.34153005464480873,0.0
H_O2_#3_4p,3,1107.0,2.208447498839629,0.8789941422076983,181,15.4101425273512,10.33259749104434,144,2.086720867208672,0.7408653599021299,100,4.426377597109305,0.0
H_O2_#3_5p,3,991.0,0.5653087734360627,0.10778221045062433,181,10.366212579885637,11.950925472072534,144,0.5842583249243188,0.09863507086825236,100,0.30272452068617556,0.0
H_O3_#3_2p,3,643.0,0.5258499952742239,0.26349378741034896,181,4.944271643338517,3.0948218997832,144,0.4494556765163298,0.16227838081456208,100,0.0,
H_O3_#3_3p,3,435.0,2.0499142693846446,0.7749996448117071,181,11.376117496807153,5.457706418866261,144,1.7701149425287357,0.47742711781763675,100,0.0,
H_O3_#3_4p,3,331.0,2.939360050741934,1.348794917092089,181,16.09600537092984,7.847216462229614,144,2.6465256797583083,1.0693189811976163,100,2.416918429003021,0.0
H_O3_#3_5p,3,272.0,5.788917777055573,2.660797085652006,181,23.973651960784313,8.46720654904191,144,5.161764705882352,1.3423758852761554,100,5.88235294117647,0.0
H_O1_#4_2p,3,213.0,1.7248981920991884,0.6996617527877514,181,7.6747522170057385,3.0407361492452787,144,1.4647887323943665,0.40193093770114624,100,0.0,0.0
H_O1_#4_3p,3,146.0,2.331037614470597,1.9126084727236328,181,14.949581430745813,5.694557560859318,144,1.3630136986301369,1.2748828414422821,100,0.0,0.0
H_O1_#4_4p,3,114.0,4.885141029369002,2.030413588919482,181,23.09332358674464,7.510754869636067,144,4.675438596491228,1.4053627220044917,100,2.631578947368421,0.0
H_O1_#4_5p,3,97.0,7.353192458848322,3.21155824319979,181,27.147766323024054,9.603093102756924,144,6.628865979381443,2.422198467154873,100,12.371134020618557,0.0
H_O2_#4_2p,3,2183.0,0.20398711287371277,0.1061670496584036,181,3.435639028859368,3.1846927817476027,144,0.10352725606962895,0.0882274356108534,100,0.0,0.0
H_O2_#4_3p,3,1464.0,0.7034386981855508,0.327025386121086,181,10.101700060716455,8.11727130139577,144,0.6454918032786885,0.2304385370108781,100,0.0,
H_O2_#4_4p,3,1106.0,1.3327605327045848,0.75210230974242,181,15.267103676913804,9.090404086102176,144,1.5018083182640145,0.6013868389705097,100,1.4466546112115732,0.0
H_O2_#4_5p,3,901.0,2.059712658126943,0.8959067340094651,181,25.40155999506721,14.224193982740003,144,2.560488346281909,1.1235001869374224,100,19.97780244173141,0.0
H_O3_#4_2p,3,643.0,0.4622668259110008,0.27452426384166817,181,4.930231553481942,2.7370607512007132,144,0.41990668740279946,0.20198990519569104,100,0.0,
H_O3_#4_3p,3,435.0,1.6968311424398297,0.7438667731465026,181,10.609833971902937,4.932832157315561,144,1.4689655172413794,0.5071331924272391,100,0.0,
H_O3_#4_4p,3,332.0,2.4179591293350198,1.3848256904370997,181,15.74841030789826,6.917094437558585,144,2.2981927710843375,0.9626900204758064,100,0.0,
H_O3_#4_5p,3,271.0,5.663493099019388,3.1326787982828175,181,23.613673636736365,6.969250350587889,144,4.442804428044281,1.1441819376967892,100,2.952029520295203,0.0
