Algorithm,n,W,p_value,Normal_p_ge_0_05
SA,109,0.7812290181742512,1.913212863776135e-11,false
GRASP,109,0.9429100314421496,0.00014932895291761244,false
GA,109,0.7012965010391123,1.3888195523038047e-13,false
SSM-SA,109,0.5847162276337928,4.522154517762593e-16,false
