table_num,beta,scenario,order,p,t_MILP,s_MILP,time_MILP,t_SSM_SA,s_SSM_SA,time_SSM_SA,t_SA,s_SA,time_SA,t_GRASP,s_GRASP,time_GRASP,t_GA,s_GA,time_GA
7,3,4,1,2,213,7,12581,213,7,1863,213,7,6.63,219,9,0.11,213,7,14.76
7,3,4,1,3,146,6,4214,146,6,955,146,6,6.85,149,7,0.1,146,6,15.24
7,3,4,1,4,114,6,306,117,6,250,114,6,6.82,121,8,0.11,114,6,15.77
7,3,4,1,5,97,6,77,109,8,124,97,6,7.02,101,7,0.11,97,6,16.53
7,3,4,2,2,2183,8,21114,2183,8,1845,2183,8,7.37,2186,9,0.03,2183,8,19.35
7,3,4,2,3,B 1458 (F 1464),*,*,1464,8,1570,1467,9,7.32,1479,10,0.03,1467,9,19.33
7,3,4,2,4,1106,8,7694,1122,9,432,1106,8,7.61,1128,10,0.03,1108,7,18.75
7,3,4,2,5,901,9,3773,1081,8,145,901,9,7.95,925,10,0.03,901,9,19.04
7,3,4,3,2,B 475 (F 643),*,*,643,8,1840,643,8,6.98,649,10,0.03,643,8,16.37
7,3,4,3,3,B 344 (F 435),*,*,435,7,1849,435,7,7.01,448,11,0.03,437,8,17.33
7,3,4,3,4,B 312 (F 331),*,*,332,6,1230,332,6,7.08,349,10,0.11,332,6,17.64
7,3,4,3,5,271,7,8765,279,9,294,274,8,7.33,293,10,0.03,277,7,18.11
