Algorithm,n,mean_RPD,std_RPD,median_RPD,min_RPD,max_RPD
SA,109,2.9201441269835358,3.198016697719451,1.9505615645993826,0.0,18.095555979401105
GRASP,109,14.344758211334586,8.246980868366807,13.199013157894736,2.968420358649789,45.39200415368639
GA,109,2.2944270546437058,3.0494120230605946,1.4689655172413794,0.0,19.065420560747665
SSM-SA,109,1.8755516299300374,3.671214448022303,0.0,0.0,19.97780244173141
MILP,83,0.0,0.0,0.0,0.0,0.0
