table_num,beta,scenario,order,p,t_MILP,s_MILP,time_MILP,t_SSM_SA,s_SSM_SA,time_SSM_SA,t_SA,s_SA,time_SA,t_GRASP,s_GRASP,time_GRASP,t_GA,s_GA,time_GA
5,3,2,1,2,213,7,171,213,7,508,213,7,6.57,217,8,0.1,213,7,13.93
5,3,2,1,3,146,6,43,146,6,219,146,6,6.66,146,6,0.1,146,6,14.55
5,3,2,1,4,118,7,96,122,7,111,118,7,6.73,119,7,0.02,118,7,15.2
5,3,2,1,5,104,5,1,**,**,**,107,6,7,107,6,0.1,107,6,16.05
5,3,2,2,2,2183,8,234,2183,8,397,2183,8,6.99,2183,8,0.03,2183,8,16.63
5,3,2,2,3,1467,8,160,1468,8,268,1468,8,6.82,1476,9,0.03,1468,8,17
5,3,2,2,4,1120,8,40,1208,8,96,1120,8,7.22,1126,9,0.04,1120,8,16.89
5,3,2,2,5,991,7,4,**,**,**,991,7,7.57,994,8,0.11,991,7,17.75
5,3,2,3,2,643,8,5782,643,8,1482,643,8,7.03,650,10,0.03,643,8,15.68
5,3,2,3,3,435,7,4999,438,8,680,438,8,6.95,441,9,0.03,435,7,15.99
5,3,2,3,4,332,6,603,332,6,245,332,7,6.92,338,8,0.03,332,7,16.6
5,3,2,3,5,280,8,105,296,8,114,280,8,7.21,290,10,0.03,280,8,17.42
