Algorithm,n,W,p_value,Normal (p>=0.05)
SA,120,0.7904632800529627,8.490751187800837e-12,False
GRASP,120,0.9559016845783213,0.0006013403802534004,False
GA,120,0.7147959288950049,5.829499302795357e-14,False
SSM-SA,109,0.584716227630127,4.522154517178255e-16,False
