table_num,beta,scenario,order,p,t_MILP,s_MILP,time_MILP,t_SSM_SA,s_SSM_SA,time_SSM_SA,t_SA,s_SA,time_SA,t_GRASP,s_GRASP,time_GRASP,t_GA,s_GA,time_GA
13,6,5,1,2,233,6,27295,233,6,1907,233,6,6.15,241,8,0.11,233,6,31.71
13,6,5,1,3,164,6,5210,164,6,1339,164,6,6.34,182,8,0.03,164,6,33.38
13,6,5,1,4,126,5,246,132,6,291,132,6,6.68,145,8,0.11,137,6,34.2
13,6,5,1,5,107,5,37,125,6,183,115,6,6.96,132,8,0.03,121,7,35.72
13,6,5,2,2,B 1681 (F 2207),*,*,2207,8,1870,2207,8,8.02,2219,10,0.03,2207,8,41.76
13,6,5,2,3,B 1298 (F 1486),*,*,1488,8,1851,1492,8,8.01,1511,10,0.03,1498,9,44.25
13,6,5,2,4,B 997 (F 1124),*,*,1136,8,1185,1135,8,8.19,1176,11,0.03,1138,9,41.17
13,6,5,2,5,B 890 (F 911),*,*,1000,8,404,933,9,8.52,961,11,0.03,936,10,41.08
13,6,5,3,2,B 499 (F 664),*,*,667,8,1928,664,7,6.86,679,10,0.11,664,7,35.09
13,6,5,3,3,B 374 (F 456),*,*,456,7,1849,462,8,6.94,484,10,0.03,462,8,36.16
13,6,5,3,4,B 335 (F 350),*,*,354,7,1739,356,7,7.1,375,10,0.03,356,7,36.98
13,6,5,3,5,290,7,2527,302,7,318,298,7,7.44,327,11,0.03,304,8,38.39
