table_num,beta,scenario,order,p,t_MILP,s_MILP,time_MILP,t_SSM_SA,s_SSM_SA,time_SSM_SA,t_SA,s_SA,time_SA,t_GRASP,s_GRASP,time_GRASP,t_GA,s_GA,time_GA
12,6,4,1,2,233,6,6466,233,6,1861,233,6,6.04,245,8,0.03,233,6,30.23
12,6,4,1,3,164,6,1350,164,6,602,164,6,6.18,176,8,0.03,164,6,31.24
12,6,4,1,4,132,6,144,135,6,190,132,6,6.27,143,7,0.11,137,6,32.27
12,6,4,1,5,115,6,34,129,6,104,115,6,6.7,131,7,0.11,116,6,34.18
12,6,4,2,2,2207,8,21222,2207,8,1933,2207,8,7.46,2213,9,0.03,2207,8,39.93
12,6,4,2,3,B 1459 (F 1488),*,*,1488,8,1681,1488,8,7.36,1505,10,0.03,1492,8,40.87
12,6,4,2,4,1129,7,4010,1157,9,429,1130,8,7.74,1150,10,0.03,1135,8,38.54
12,6,4,2,5,926,8,2848,1043,9,133,928,9,8.28,964,10,0.03,931,9,39.16
12,6,4,3,2,B 538 (F 664),*,*,664,7,1937,664,7,6.42,679,10,0.03,664,7,33.69
12,6,4,3,3,B 397 (F 456),*,*,456,7,1832,456,7,6.56,480,11,0.11,461,8,34.75
12,6,4,3,4,350,6,14849,350,6,898,350,6,6.86,372,10,0.03,354,7,35.51
12,6,4,3,5,292,7,1521,**,**,**,298,7,7.4,316,10,0.03,298,8,37.01
